timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1535824800,Sep 01 2018 - 6:00pm,complete,25091,Strasbourg,Nantes,Olivier Thual,4,1.00,0.00,1.37,0.89,2,3,5,3,1,2,"21,81","34,45'2,59",1,3,1,0,2,0,0,1,1,1,8,12,6,6,2,6,12,12,48,52,1.30,1.57,2.00,50,100,0,0,0,0,50,50,100,11.00,4.00,2.46,3.24,3.16,1.34,2.05,3.70,9.30,1.87,1.83,Stade de la Meinau (Strasbourg)
1535893200,Sep 02 2018 - 1:00pm,complete,30146,Saint-Étienne,Amiens SC,Thomas Léonard,4,3.00,0.00,2.16,0.63,0,0,0,0,0,0,"","",14,1,3,0,2,0,1,2,1,1,12,10,6,3,6,7,11,12,63,37,1.66,0.98,2.50,50,100,50,0,0,0,100,50,100,7.00,5.00,1.59,4.01,6.41,1.38,2.20,4.05,7.30,2.10,1.65,Stade Geoffroy-Guichard (Saint-Ètienne)
1535900400,Sep 02 2018 - 3:00pm,complete,23817,Rennes,Bordeaux,Benoît Bastien,4,3.00,0.00,1.63,0.74,2,0,2,2,2,0,"12,16","",6,5,0,0,3,0,0,0,0,3,15,7,9,2,6,5,12,14,46,54,2.00,0.88,2.00,50,50,50,0,0,0,50,50,100,5.00,2.00,2.15,3.30,4.00,1.43,2.35,4.45,8.60,2.05,1.67,Roazhon Park (Rennes)
1535914800,Sep 02 2018 - 7:00pm,complete,14269,Monaco,Olympique Marseille,Benoît Millot,4,1.00,0.00,0.95,1.26,2,3,5,1,0,1,"48,53","45'1,74,89",1,5,1,0,1,0,1,0,0,1,8,13,5,6,3,7,11,16,45,55,1.18,1.48,2.00,50,50,50,50,0,0,50,50,50,15.00,2.00,2.51,3.75,2.71,1.19,1.62,2.55,4.45,1.54,2.30,Stade Louis II (Monaco)
1536944400,Sep 14 2018 - 5:00pm,complete,16887,Nice,Rennes,Jérôme Miguelgorry,5,0.00,0.50,1.79,1.11,2,1,3,0,0,0,"77,89","58",3,2,4,0,1,0,1,3,1,0,11,8,5,4,6,4,10,19,58,42,1.29,1.03,3.25,50,75,75,75,0,50,75,75,75,12.50,2.00,2.70,3.20,3.00,1.39,2.20,4.15,9.00,1.95,1.77,Allianz Riviera (Nice)
1536950700,Sep 14 2018 - 6:45pm,complete,46549,PSG,Saint-Étienne,Frank Schneider,5,3.00,1.00,2.79,1.32,4,0,4,1,1,0,"22,51,76,84","",7,4,1,0,1,0,1,0,0,1,15,9,10,3,5,6,12,13,64,36,1.97,1.07,2.25,50,75,50,25,0,50,50,50,75,10.00,3.50,1.25,6.65,13.50,1.14,1.49,2.25,3.75,1.95,1.74,Parc des Princes (Paris)
1537023600,Sep 15 2018 - 3:00pm,complete,17676,Caen,Olympique Lyonnais,Johan Hamel,5,1.00,0.00,0.89,1.68,2,2,4,1,0,1,"53,73","45,88",2,4,1,2,2,0,1,2,1,1,14,13,5,7,9,6,15,13,31,69,1.45,1.62,1.50,50,50,0,0,0,0,50,50,50,9.00,2.00,6.25,4.25,1.61,1.24,1.77,2.90,4.75,1.87,1.83,Stade Michel d'Ornano (Caen)
1537034400,Sep 15 2018 - 6:00pm,complete,11569,Amiens SC,Lille,Nicolas Rainville,5,1.50,0.50,1.37,1.68,2,3,5,1,0,1,"79,90'3","45'2,56,76",3,3,1,0,2,0,0,1,0,2,7,16,5,10,2,6,12,21,47,53,0.99,1.97,2.25,50,50,50,25,25,0,25,50,75,9.50,3.00,3.45,3.25,2.35,1.43,2.35,4.45,8.20,2.00,1.69,Stade Crédit Agricole de la Licorne (Amiens)
1537034400,Sep 15 2018 - 6:00pm,complete,12275,Dijon,Angers SCO,Hakim Ben El Hadj,5,1.50,0.00,1.16,1.16,1,3,4,4,1,3,"13","20,29,38",4,6,2,0,2,0,2,0,0,2,12,11,4,7,8,4,12,15,61,39,1.45,1.44,2.25,25,75,25,25,0,25,75,25,100,6.00,1.00,2.35,3.35,3.40,1.32,2.00,3.50,6.90,1.80,1.91,Stade Gaston-Gérard (Dijon)
1537034400,Sep 15 2018 - 6:00pm,complete,10630,Montpellier,Strasbourg,Willy Delajod,5,0.50,1.50,1.68,1.21,1,1,2,0,0,0,"50","90'3",5,5,1,0,2,0,0,1,1,1,7,7,4,2,3,5,15,14,41,59,1.08,0.92,1.75,25,75,25,0,0,0,50,50,75,12.00,3.50,2.00,3.45,4.45,1.41,2.25,4.25,8.70,2.05,1.69,Stade de la Mosson (Montpellier)
